Paket;NOPEN;NAMA KANTOR;NOPEN INDUK;REGIONAL;JENIS KANTOR;Status PSO;ALAMAT;PROVINSI;LATITUDE;LONGITUDE
PAKET 1;20000;MEDAN;-;REGIONAL 1;KCU;Non LPU;Jl. Pos No. 1 Medan 20111, Kel. Kesawan, Kec. Medan Barat, Medan;Sumatera Utara;3.591.867;98.677.388
PAKET 1;20004;KANTOR REGIONAL 1;-;REGIONAL 1;KCU;Non LPU;Jl. Prof. H.M. Yamin, S.H. No. 44,Kel. Gunung Batu, Kec. Medan Timur, Medan 20231;Sumatera Utara;3.594.084;98.680.461
PAKET 1;20900;SPP MEDAN;-;REGIONAL 1;KCU;Non LPU;Jl.Raya Medan - Tanjung Merawa, Kel. Tanjung Baru, Kec. Tanjung Merawa, Deli Serdang;Sumatera Utara;3.550.943;98.828.371
PAKET 1;23000;BANDAACEH;-;REGIONAL 2;SPP;Non LPU;Jl. T. Hamzah Bendahara No. 33 Banda Aceh, Kel. Kuta Alam, Kec. Kuta Alam, Banda Aceh;Nanggroe Aceh Darussalam;5.555.873;95.325.635
PAKET 1;25000;PADANG;-;REGIONAL 2;KCU;Non LPU;Jl. Bagindo Azis Can No. 7 Padang, Kel. Pasar Baru, Kec. Padang Barat, Padang;Sumatera Barat;-0.950585;100.363.428
PAKET 1;28000;PEKANBARU;-;REGIONAL 2;KCU;Non LPU;Jl. Jend. Sudirman No. 229 Pekanbaru 28111, Kel. Sumahilang, Kec. Pekanbaru Kota, Pekanbaru Kota;Riau;0.521717;101.447.997
PAKET 1;29400;BATAM;-;REGIONAL 2;KCU;Non LPU;Jl. Jend. Sudirman Batam Center, Kel. Teluk Tering, Kec. Nongsa, Batam;Kepulauan Riau;113.084.498.825.855;104.051.237.691.909
PAKET 1;30000;PALEMBANG;-;REGIONAL 2;SPP;Non LPU;Jl. Merdeka No. 3,Palembang 30132, Kel. 19 Ilir, Kec.Ilir Barat I, Palembang;Sumatera Selatan;-2.989.203;104.759.694
PAKET 1;30400;SPP PALEMBANG;-;REGIONAL 2;KCU;Non LPU;Jl. Tanjung Api Api, Kel. Kebun Bunga, Kec. Sukarame, Palembang;Sumatera Selatan;-2.909.018;104.721.763
PAKET 1;35000;BANDARLAMPUNG;-;REGIONAL 2;KCU;Non LPU;Jl. KH Ahmad Dahlan No.21, Kel. Pahoman, Kec. Telukbetung Utara, Bandar Lampung;Lampung;-5.424.759;105.272.173
PAKET 1;36000;JAMBI;-;REGIONAL 2;KCU;Non LPU;Jl. Sultan Taha No. 5, Kel. Pasar, Kec. Jambi Pasar, Jambi;Jambi;-1.588.873;103.616.916
PAKET 1;38000;BENGKULU;-;REGIONAL 2;SPP;Non LPU;Jl. S. Parman No. 111, Kel. Tanah Patah, Kec. Gading Cempaka, Bengkulu;Bengkulu;-3.802.821;102.275.983
PAKET 1;10400;SPP JAKARTA;-;REGIONAL 2;SPP;Non LPU;Jl. Pemuda No. 79, Kel. Jati, Kec. Pulo Gadung, Jakarta Timur;DKI Jakarta;-6.193.982;10.690.121
PAKET 1;11000;JAKARTAOCEANIA;-;REGIONAL 2;KCU;Non LPU;Jl. Daan Mogot No. 20, Kel. Wijaya Kusuma, Kec. Grogol Petamburan, Jakarta Barat;DKI Jakarta;-6.162.866;106.774.804
PAKET 1;12000;JAKARTAFLORA;-;REGIONAL 3;KCU;Non LPU;Jl. RS. Fatmawati No. 10, Kel. Lebak Bulus, Kec. Cilandak, Jakarta Selatan;DKI Jakarta;-6.294.455;106.794.715
PAKET 1;13000;JAKARTAPREMIER;-;REGIONAL 3;Kantor Regional;Non LPU;Jl. Pemuda No. 79, Kel. Jati, Kec. Pulo Gadung, Jakarta Timur;DKI Jakarta;-6.193.982;10.690.121
PAKET 1;13400;SPP JAKARTATIMUR;-;REGIONAL 3;SPP;Non LPU;Jl. Pemuda No. 79, Kel. Jati, Kec. Pulo Gadung, Jakarta Timur;DKI Jakarta;-6,193982;106,90121
PAKET 1;15000;TANGERANG;-;REGIONAL 3;KCU;Non LPU;Jl. Daan Mogot No 11 Tangerang, Kel. Sukarasa, Kec. Tangerang Kota, Tangerang;Banten;-6.174.547;106.630.165
PAKET 1;16000;BOGOR;-;REGIONAL 3;KCU;Non LPU;Jl. IR H Juanda No. 5, Kel. Paledang, Kec. Bogor Tengah, Bogor;Jawa Barat;-6.600.023;106.795.086
PAKET 1;17000;BEKASI;-;REGIONAL 4;KCU;Non LPU;Jl. Lapangan Multiguna No. 7, Kel. Margahayu, Kec. Bekasi Timur, Bekasi;Jawa Barat;-6.249.725;107.010.936
PAKET 1;18000;KTPL TANJUNGPRIOK;-;REGIONAL 4;Kantor Regional;Non LPU;Jl. Cumi No. 38-39, Tanjung Priok;DKI Jakarta;-6.132.055;106.871.485
PAKET 1;19000;KTPU JAKARTASOEKARNOHATTA;-;REGIONAL 4;SPP;Non LPU;Jl. Cargo Area Bandara International Soekaro Hatta, Kel. Benda, Kec. Benda, Tangerang Banten;Banten;-612.434;106.659.253
PAKET 1;42100;SERANG;-;REGIONAL 4;KCU;Non LPU;Jl. Veteran No. 3 Serang, Kel. Kotabaru, Kec. Serang, Serang;Banten;-6.116.375;106.152.864
PAKET 1;40000;BANDUNG;-;REGIONAL 4;KCU;Non LPU;Jl. Asia Afrika No. 49 Bandung, Kel. Braga, Kec. Sumur Bandung, Bandung;Jawa Barat;-6.920.837;107.606.172
PAKET 1;40004;KANTOR REGIONAL 3 BANDUNG;-;REGIONAL 4;KCU;Non LPU;Jl. Pahlawan No. 87, Bandung 40123, Kel. Sukaluyu, Kec. Cibeunying Kaler, Bandung;Jawa Barat;-689.418.027.494.068;107.634.676.694.869
PAKET 1;40400;SPP BANDUNG;-;REGIONAL 4;SPP;Non LPU;Jl. Soekarno Hatta No. 558, Kel. Sekejati, Kec. Buahbatu, Bandung;Jawa Barat;-6.943.084;107.651.001
PAKET 1;41300;KARAWANG;-;REGIONAL 4;KCU;Non LPU;Jl. Alun-Alun Selatan No. 1, Kel. Nagasari, Kec. Karawang Barat, Karawang;Jawa Barat;-6.310.921;107.293.386
PAKET 1;45100;CIREBON;-;REGIONAL 5;KCU;Non LPU;Jl. Yos Sudarso No. 9, Kel. Lemah Wungkuk, Kec. Lemah Wungkuk, Cirebon;Jawa Barat;-6.719.652;108.571.988
PAKET 1;50000;SEMARANG;-;REGIONAL 5;Kantor Regional;Non LPU;Jl. Pemuda No. 4 Semarang, Kel. Kauman, Kec. Semarang Tengah, Semarang;Jawa Tengah;-6.969.879;110.424.185
PAKET 1;50004;KANTOR REGIONAL 4 SEMARANG;-;REGIONAL 5;SPP;Non LPU;Jl. Sisingamangaraja No. 45, Semarang 50253, Kel. Kaliwiru, Kec. Candisari, Semarang;Jawa Tengah;-7.015.406;110.423.944
PAKET 1;50400;SPP SEMARANG;-;REGIONAL 5;KCU;Non LPU;Jl. Imam Barjo sh No. 3, Kel. Peleburan, Kec. Semarang Selatan, Semarang;Jawa Tengah;-6.993.282;11.042.231
PAKET 1;51100;PEKALONGAN;-;REGIONAL 5;KCU;Non LPU;Jl. Cendrawasih No. 1 Pekalongan, Kel. Kandang Panjang, Kec. Pekalongan Utara, Kota Pekalongan;Jawa Tengah;-6.877.677;109.674.098
PAKET 1;53100;PURWOKERTO;-;REGIONAL 5;KCU;Non LPU;Jl. Jend. Sudirman No. 435, Kel. Kranji, Kec. Purwokerto Timur, Banyumas;Jawa Tengah;-7.427.207;109.239.047
PAKET 1;55000;YOGYAKARTA;-;REGIONAL 5;KCU;Non LPU;Jl. P.Senopati No. 2, Kel. Gondomanan, Kec. Gondomanan, Yogyakarta;Daerah Istimewa Yogyakarta;-7.801.786;110.365.073
PAKET 1;55400;SPP YOGYAKARTA;-;REGIONAL 5;SPP;Non LPU;Jl. Plemburan No. 7, Kel. Sariharjo, Kec. Ngaglik, Sleman;Daerah Istimewa Yogyakarta;-7.749.921;110.377.725
PAKET 1;57100;SOLO;-;REGIONAL 5;KCU;Non LPU;Jl. Jend. Sudirman No. 8 Solo 57111 Kel. Kampung Baru Pasar, Kec. Kliwon, Surakarta;Jawa Tengah;-7.571.033;110.829.622
PAKET 1;60000;SURABAYA;-;REGIONAL 5;KCU;Non LPU;Jl. Kebon Rojo No. 10, Kel. Krembangan Selatan, Kec. Krembangan, Surabaya;Jawa Timur;-7.242.784;112.737.454
PAKET 1;60004;KANTOR REGIONAL 5 SURABAYA;-;REGIONAL 6;KCU;Non LPU;Jl. Krembangan Barat 73 - 75, Kec. Krembangan, Surabaya 60175;Jawa Timur;-723.606;112.734.167
PAKET 1;63100;MADIUN;-;REGIONAL 6;KCU;Non LPU;Jl. Pahlawan No. 24 Madiun, Kel. Lor, Kec. Mangunharjo, Madiun;Jawa Timur;-7.619.312;111.521.501
PAKET 1;65100;MALANG;-;REGIONAL 6;KCU;Non LPU;Jl. Merdeka Selatan No. 5, Kel. Kauman, Kec. Klojen, Malang;Jawa Timur;-7.983.654;112.630.393
PAKET 1;68100;JEMBER;-;REGIONAL 6;KCU;Non LPU;Jl. Sudirman No. 5 Jember 68114 Jember, Kel. Lor, Kec. Patrang, Jember;Jawa Timur;-8.167.933;113.701.957
PAKET 1;80000;DENPASAR;-;REGIONAL 6;KCU;Non LPU;Jl. Raya Puputan Renon, Kel. Sumerta Klod, Kec. Denpasar Selatan, Denpasar;Bali;-8.672.483;11.522.948
PAKET 1;83000;MATARAM;-;REGIONAL 6;SPP;Non LPU;Jl. Sriwijaya Mataram 83161, Kel. Mataram, Kec. Mataram, Mataram;Nusa Tenggara Barat;-859.461;11.610.312
PAKET 1;85000;KUPANG;-;REGIONAL 6;KCU;Non LPU;Jl. Palapa No. 1Kupang 85111, Kel. Oebobo, Kec. Kelapa Lima, Kupang;Nusa Tenggara Timur;-10.167.953;123.597.875
PAKET 1;70000;BANJARMASIN;-;REGIONAL 6;KCU;Non LPU;Jl. Lambung Mangkurat No. 19, Kel. Kertak Baru, Kec. Banjarmasin Tengah, Banjarmasin;Kalimantan Selatan;-3.325.023;114.591.368
PAKET 1;70400;SPP BANJARMASIN;-;REGIONAL 6;KCU;Non LPU;Jl. A Yani KM 23, Kel. Landasan Ulin Tengah, Kec. Landasan Ulin, Banjarbaru;Kalimantan Selatan;-344.096;114.739.307
PAKET 1;73000;PALANGKARAYA;-;REGIONAL 6;KCU;Non LPU;Jl. Imam Bonjol No. 3, Kel. Menteng, Kec. Jekan Raya, Palangkaraya;Kalimantan Tengah;-2.209.989;113.917.314
PAKET 1;76100;BALIKPAPAN;-;REGIONAL 6;KCU;Non LPU;Jl. Jend. Sudirman No. 31, Kel. Kelandasan Ulu, Kec. Balikpapan Kota, Balikpapan;Kalimantan Timur;-127.677;116.826.968
PAKET 1;78000;PONTIANAK;-;REGIONAL 6;SPP;Non LPU;Jl. Sutan Abdurahman No. 49 Ptk, Kel. Sungai Bangkong, Kec. Pontianak Barat, Pontianak;Kalimantan Barat;-0.0386;109.328.685
PAKET 1;90000;MAKASSAR;-;REGIONAL 1;KC;Non LPU;Jl. Slamet Riyadi No. 10, Kel. Bulogading, Kec. Ujungpandang, Makassar;Sulawesi Selatan;-5.134.727;119.406.838
PAKET 1;90004;KANTOR REGIONAL 6 MAKASSAR;-;REGIONAL 1;KC;Non LPU;Jl. A. P. Pettarani, Kel. Rappocini, Kec. Tamalate, Makassar 90222;Sulawesi Selatan;-516.441;119.434.728
PAKET 1;90400;SPP MAKASSAR;-;REGIONAL 1;KC;Non LPU;Jl. Perintis kemerdekaan KM 16, Kel. Pai, Kec. Biringkanaya, Makassar;Sulawesi Selatan;-5.093.374;119.513.996
PAKET 1;93000;KENDARI;-;REGIONAL 1;KC;Non LPU;Jl Ahmad Yani No. 206, Jl. Jendral Ahmad Yani, Kel. Anoiwoi, Kec. Kadia, Kendari;Sulawesi Tenggara;-39.616.557;1.225.212.509
PAKET 1;94000;PALU;-;REGIONAL 1;KC;Non LPU;Jl. Moh Yamin, Kel. Lolu, Kec. Palu Timur, Palu;Sulawesi Tengah;-0.906519;119.888.783
PAKET 1;95000;MANADO;-;REGIONAL 1;KC;Non LPU;Jl. Sam Ratulangi No. 23, Kel. Wenang, Kec. Wenang, Manado;Sulawesi Utara;148.803;124.838.425
PAKET 1;97000;AMBON;-;REGIONAL 1;KC;Non LPU;Jl. Raya Pattimura No. 20, Kel. Untetu, Kec. Sirimau, Ambon;Maluku;-3.695.881;128.184.595
PAKET 1;99000;JAYAPURA;-;REGIONAL 1;KC;Non LPU;Jl. Koti No. 3 Kel. Numbay, Kec. Jayapura Selatan, Jayapura;Papua;-254.307.793.801.502;140.706.738.179.237
PAKET 2A;20600;TEBINGTINGGIDELI;-;REGIONAL 1;KC;Non LPU;Jl. Sutomo No. 36 Tebintinggideli, Kel. Tebingtinggi Lama, Kec. Padang Hilir, Tebingtinggi;Sumatera Utara;332.775.599.172.786;991.630.995.889.549
PAKET 2A;20700;BINJAI;-;REGIONAL 1;KC;Non LPU;Jl. Sutomo No. 25 Binjai, Kel. Pahlawan, Kec. Binjai Utara, Binjai;Sumatera Utara;3.610.863;98.493.585
PAKET 2A;21100;PEMATANGSIANTAR;-;REGIONAL 1;KC;Non LPU;Jl. Sutomo No. 2 Pematang Siantar, Kel. Proklamasi Proklamasi, Kec. Siantar Barat, Pematangsiantar;Sumatera Utara;2.954.771;99.061.286
PAKET 2A;21200;KISARAN;-;REGIONAL 1;KC;Non LPU;Jl. Pahlawan No. 2 Kisaran, Kel. Kisaran Timur, Kec. Kisaran Timur, Asahan;Sumatera Utara;2.984.137;99.631.346
PAKET 2A;21400;RANTAUPRAPAT;-;REGIONAL 1;KC;Non LPU;Jl. WR Supratman No. 51 Rantauprapat, Kel. Padang Matinggi, Kec. Rantau Utara, Rantauprapat;Sumatera Utara;2.112.302;99.823.111
PAKET 2A;22100;KABANJAHE;-;REGIONAL 1;KC;Non LPU;Jl. Veteran No. 1 Kabanjahe, Kel. Gung Leto, Kec. Kabanjahe, Karo;Sumatera Utara;3.102.967;98.488.737
PAKET 2A;22500;SIBOLGA;-;REGIONAL 1;KC;Non LPU;Jl. FL Tobing No. 40 Sibolga 22521, Kel. Kota Beringin, Kec. Sibolga Utara, Sibolga;Sumatera Utara;174.397.185.717.408;987.770.127.692.551
PAKET 2A;22700;PADANGSIDEMPUAN;-;REGIONAL 1;KC;Non LPU;Jl. Merdeka No. 5 Padangsidempuan 22719, Kel. Wek IV, Kec. Padangsidempuan Utara, Padangsidempuan;Sumatera Utara;1.377.191;9.927.133
PAKET 2A;23600;MEULABOH;-;REGIONAL 1;KC;Non LPU;Jl. Teuku Cik Di Tiro No.2, Kel. Pasar Aceh, Kec. Johan Pahlawan, Aceh Barat;Nanggroe Aceh Darussalam;4.134.685;96.130.548
PAKET 2A;24100;SIGLI;-;REGIONAL 1;KC;Non LPU;Jl. Teuku Umar No. 2 Sigli 24114, Kel. Blok Bengkel, Kec. Kota Sigli, Pidie;Nanggroe Aceh Darussalam;5.385.119;95.962.771
PAKET 2A;24300;LHOKSEUMAWE;-;REGIONAL 1;KC;Non LPU;Jl. Samudra No. 1 Lhokseumawe, Kel. Kampung Jawa Lama, Kec. Banda Sakti, Lhokseumawe;Nanggroe Aceh Darussalam;5.179.135;97.148.491
PAKET 2A;24400;LANGSA;-;REGIONAL 1;KC;Non LPU;Jl. Achmad Yani No. 29, Kel. Gampung Jawa, Kec. Langsa Kota, Langsa;Nanggroe Aceh Darussalam;4.470.778;97.967.389
PAKET 2A;26200;PAYAKUMBUH;-;REGIONAL 1;KC;Non LPU;Jl. Jend. Sudirman No. 4 Payakumbuh, Kel. Ktbr Balai Janggo, Kec. Payakumbuh Utara, Payakumbuh;Sumatera Barat;-0.223967696165811;100.632.394.626.983
PAKET 2A;27300;SOLOK;-;REGIONAL 1;KC;Non LPU;Jl. Prof. DR. M. Yamin No. 38, Kel. Pasar Pandan Air Mati, Kec. Tanjung Harapan, Solok;Sumatera Barat;-0.7889;100.665.176
PAKET 2A;28500;BANGKINANG;-;REGIONAL 1;KC;Non LPU;Jl. Moh Yamin sh no 131, Kel. Bangkinang, Kec. Bangkinang, Kampar;Riau;0.345553;101.025.148
PAKET 2A;28800;DUMAI;-;REGIONAL 1;KC;Non LPU;Jl. Yos Sudarso No. 3, Dumai 28814, Kel. Buluhkasap, Kec. Dumai Timur, Dumai Kepulauan Riau;Riau;1.680.228;101.455.504
PAKET 2A;29100;TANJUNGPINANG;-;REGIONAL 1;KC;Non LPU;Jl. Brigjen Katamso No. 47 Tanjung Pinang, Kel. Tanjungpinang Timur, Kec. Bukit Bestari, Tanjungpinang;Kepulauan Riau;0.922281;104.459.203
PAKET 2A;31100;PRABUMULIH;-;REGIONAL 1;KC;Non LPU;Jl. Urip Sumoharjo No. 821, Kel. Pasar II, Kec. Prabumulih Barat, Prabumulih;Sumatera Selatan;-3.432.061;104.236.451
PAKET 2A;31300;MUARAENIM;-;REGIONAL 1;KC;Non LPU;Jl. Jendral Sudirman No. 99, Kel. Pasar II Muaraenim, Kec. Muara Enim, Muara Enim;Sumatera Selatan;-365.689.676.891.085;103.772.834.482.785
PAKET 2A;31400;LAHAT;-;REGIONAL 2;KC;Non LPU;Jl. Prof Dr Emil Salim No. 2, Kel. Pasar Baru, Kec. Kota Lahat, Lahat;Sumatera Selatan;-3.791.896;103.538.645
PAKET 2A;31600;LUBUKLINGGAU;-;REGIONAL 2;KC;Non LPU;JL.Garuda No. 20 Kel. Pemiri, Kec. Lubuklinggau Barat II, Lubuklinggau;Sumatera Selatan;-329.701.940.970.517;102.861.912.474.181
PAKET 2A;32100;BATURAJA;-;REGIONAL 2;KC;Non LPU;Jl. A.Yani No. 56, Kel. Baturaja Lama, Kec. Baturaja Timur, OganKomering Ulu;Sumatera Selatan;-412.477.715.958.838;104.168.791.139.881
PAKET 2A;33100;PANGKALPINANG;-;REGIONAL 2;KC;Non LPU;Jl. Jendral Sudirman No. 18, Kel. Bathin Tikal, Kec. Taman Sari, Pangkalpinang;Kepulauan Bangka Belitung;-2.118.057;106.112.585
PAKET 2A;33400;TANJUNGPANDAN;-;REGIONAL 3;KC;Non LPU;Jl. Merdeka No. 12, Kel. Kota , Kec. Tanjung Pandan, Belitung;Kepulauan Bangka Belitung;-274.170.410.202.544;107.635.324.017.196
PAKET 2A;34100;METRO;-;REGIONAL 3;KC;Non LPU;Jl. A.H Nasution No. 1, Metro 34111, Kel. Imopuro, Kec. Metro Pusat, Metro;Lampung;-5.113.983;105.306.335
PAKET 2A;34500;KOTABUMI;-;REGIONAL 3;KC;Non LPU;Jl. Kantor Pos No. 5, Kotabumi 34518, Kel. Kotabumi Udik, Kec. Kotabumi, Lampung Utara;Lampung;-4.821.073;104.877.154
PAKET 2A;37200;MUARABUNGO;-;REGIONAL 3;KC;Non LPU;Jl. Saleh Somad No. 1, Kel. Bungo Timur, Kec. Pasar Muara Bungo, Bungo;Jambi;-1.482.189;102.118.856
PAKET 2A;39100;CURUP;-;REGIONAL 3;KC;Non LPU;Jl. Kartini No. 6, Curup 39113, Kel. Pasar Baru, Kec. Curup Rejang, Lebong;Bengkulu;-3.466.401;102.525.599
PAKET 2A;15400;TANGERANGSELATAN;-;REGIONAL 3;KC;Non LPU;Jl. RE Martadinata No. 17, Kel. Pondok Cabe, Kec. Udik Pamulang, Tangerang Selatan;Banten;-6.346.064;106.749.454
PAKET 2A;16400;DEPOK;-;REGIONAL 3;KC;Non LPU;Jl. Sentosa Raya No. 3, Kel. Mekarjaya, Kec. Sukmajaya, Depok;Jawa Barat;-6.396.079;106.836.847
PAKET 2A;16900;CIBINONG;-;REGIONAL 3;KC;Non LPU;Jl. Tegar Beriman Blok B-4 No. 7, Kel. Pakansari, Kec. Cibinong, Bogor;Jawa Barat;-6.483.499;106.832.155
PAKET 2A;42400;CILEGON;-;REGIONAL 3;KC;Non LPU;Jl. TB Ismail Kav Blok F No. 105 Cilegon, Kel. Ciwaduk, Kec. Cilegon, Cilegon;Banten;-6.025.851;106.049.733
PAKET 2A;40100;UJUNGBERUNG;-;REGIONAL 3;KC;Non LPU;Jl. AH Nasution No.28, Kel. Ujung Berung, Kec. Ujung Berung, Bandung;Jawa Barat;-6.913.657;107.694.688
PAKET 2A;40500;CIMAHI;-;REGIONAL 3;KC;Non LPU;Jl. Gatot Subroto No. 1, Cimahi, Kel. Baros, Kec. Cimahi Selatan, Cimahi;Jawa Barat;-6.885.811;107.538.295
PAKET 2A;41100;PURWAKARTA;-;REGIONAL 3;KC;Non LPU;Jl. K.K.Singawinata No. 105, Kel. Nagri Kidul, Kec. Purwakarta, Purwakarta;Jawa Barat;-6.558.697;107.447.369
PAKET 2A;41200;SUBANG;-;REGIONAL 3;KC;Non LPU;Jl. A.Yani No 36 Subang, Kel. Karanganyar, Kec. Subang, Subang;Jawa Barat;-6.570.843;107.758.816
PAKET 2A;43100;SUKABUMI;-;REGIONAL 4;KC;Non LPU;Jl. A.Yani No. 42, Kel. Nyomplong, Kec. Warudoyong, Sukabumi;Jawa Barat;-692.234.167.468.632;106.926.484.355.819
PAKET 2A;43200;CIANJUR;-;REGIONAL 4;KC;Non LPU;Jl. Siti Jenab No. 39 Cianjur 43211, Kel. Pamoyanan, Kec. Cianjur, Cianjur;Jawa Barat;-6.821.656;107.139.115
PAKET 2A;44100;GARUT;-;REGIONAL 4;KC;Non LPU;Jl. A.Yani No. 40 Garut 44117, Kel. Pakuwon, Kec. Garut Kota, Garut;Jawa Barat;-7.215.872;107.904.688
PAKET 2A;45200;INDRAMAYU;-;REGIONAL 4;KC;Non LPU;Jl. Siliwangi No. 6, Kel. Margadadi, Kec. Indramayu, Indramayu;Jawa Barat;-632.424;108.321.381
PAKET 2A;45400;MAJALENGKA;-;REGIONAL 4;KC;Non LPU;Jl. Alun-Alun Timur No. 3 Majalengka 45411, Kel. Majalengka Wetan, Kec. Majalengka, Majalengka;Jawa Barat;-6.835.415;108.228.636
PAKET 2A;45500;KUNINGAN;-;REGIONAL 4;KC;Non LPU;Jl. A.Yani No. 2 Kuningan 45511, Kel. Kuningan, Kec. Kuningan, Kuningan;Jawa Barat;-6.981.693;108.477.081
PAKET 2A;46100;TASIKMALAYA;-;REGIONAL 4;KC;Non LPU;Jl. Oto Iskandardinata No. 6, Kel. Empangsari, Kec. Tawang, Tasikmalaya;Jawa Barat;-7.326.289;108.221.882
PAKET 2A;46200;CIAMIS;-;REGIONAL 4;KC;Non LPU;Jl. Jend. Sudirman No. 2, Kel. Ciamis, Kec. Ciamis, Ciamis;Jawa Barat;-7.325.941;108.352.731
PAKET 2A;46300;BANJAR;-;REGIONAL 4;KC;Non LPU;Jl. Kantor Pos No. 221, Kel. Hegarsari, Kec. Pataruman, Banjar;Jawa Barat;-7.373.976;108.542.603
PAKET 2A;50500;UNGARAN;-;REGIONAL 4;KC;Non LPU;Jl. MT Haryono No. 10, Ungaran, Kel. Ungaran, Kec. Ungaran, Semarang;Jawa Tengah;-7.128.462;110.407.781
PAKET 2A;50700;SALATIGA;-;REGIONAL 4;KC;Non LPU;Jl. Prof. Moh.Yamin No. 3, Kel. Salatiga, Kec. Sidorejo, Salatiga;Jawa Tengah;-7.325.012;11.050.309
PAKET 2A;51300;KENDAL;-;REGIONAL 4;KC;Non LPU;Jl. Raya Soekarno Hatta No. 224 Kel. Patukangan, Kec. Kendal, Kendal;Jawa Tengah;-6.921.328;110.205.086
PAKET 2A;52100;TEGAL;-;REGIONAL 4;KC;Non LPU;Jl. Proklamasi No. 2 Tegal, Kel. Sari, Kec. Tegal Barat, Tegal;Jawa Tengah;-6.856.671;109.137.655
PAKET 2A;52200;BREBES;-;REGIONAL 4;KC;Non LPU;Jl. P. Diponegoro No. 66 Brebes, Kel. Brebes, Kec. Brebes, Brebes;Jawa Tengah;-6.870.082;109.037.184
PAKET 2A;52300;PEMALANG;-;REGIONAL 4;KC;Non LPU;Jl. A Yani No. 1 Pemalang, Kel. Mulyoharjo, Kec. Pemalang, Pemalang;Jawa Tengah;-6.890.527;109.382.723
PAKET 2A;53200;CILACAP;-;REGIONAL 4;KC;Non LPU;Jl. A Yani No. 32 Cilacap 53212, Kel. Sidakaya, Kec. Cilacap Selatan, Cilacap;Jawa Tengah;-773.790.389.343.013;109.009.883.661.376
PAKET 2A;53300;PURBALINGGA;-;REGIONAL 4;KC;Non LPU;Jl. Alun Alun Utara No. 2, Kel. Purbalingga Lor, Kec. Purbalingga, Purbalingga;Jawa Tengah;-738.864.249.844.894;109.363.940.521.495
PAKET 2A;53400;BANJARNEGARA;-;REGIONAL 4;KC;Non LPU;Jl. Pemuda No. 72 Kel. Krandegan, Kec. Banjarnegara, Banjarnegara;Jawa Tengah;-7.396.529;109.698.727
PAKET 2A;54300;KEBUMEN;-;REGIONAL 4;KC;Non LPU;Jl. Pahlawan No. 169, Kel. Kebumen, Kec. Kebumen, Kebumen;Jawa Tengah;-7.669.998;109.652.481
PAKET 2A;55600;WATESYOGYA;-;REGIONAL 4;KC;Non LPU;Jl. Sutijab No. 63 Wates 55611, Kel. Wates, Kec. Wates, Kulonprogo;Daerah Istimewa Yogyakarta;-7.863.772;110.152.643
PAKET 2A;55700;BANTUL;-;REGIONAL 4;KC;Non LPU;Jl. Pemuda, Bantul Dusun Gandekan, Kel. Bantul, Kec. Bantul, Bantul;Daerah Istimewa Yogyakarta;-7.886.357;110.330.728
PAKET 2A;55800;WONOSARIYOGYA;-;REGIONAL 4;KC;Non LPU;Jl. Brigjen Katamso No. 12, Kel. Kepek, Kec. Wonosari, Gunung Kidul;Daerah Istimewa Yogyakarta;-7.965.627;110.600.185
PAKET 2A;56100;MAGELANG;-;REGIONAL 4;KC;Non LPU;Jl. A.Yani No. 2 Magelang, Kel. Panjang, Kec.Magelang Utara, Magelang;Jawa Tengah;-7.477.745;110.219.169
PAKET 2A;56300;WONOSOBO;-;REGIONAL 5;KC;Non LPU;Jl. Pemuda No. 9 Wonosobo 56311, Kel. Wonosobo, Kec. Wonosobo, Wonosobo;Jawa Tengah;-7.358.172;109.901.386
PAKET 2A;57200;SRAGEN;-;REGIONAL 5;KC;Non LPU;Jl. Raya Sukowati No. 193, Kel. Sragen Kulon, Kec. Sragen Kulon, Sragen;Jawa Tengah;-7.427.952;111.017.572
PAKET 2A;57300;BOYOLALI;-;REGIONAL 5;KC;Non LPU;Jl. Pandanaran No. 64 Boyolali, Kel. Siswodipuran, Kec. Boyolali, Boyolali;Jawa Tengah;-7.537.034;110.605.829
PAKET 2A;57400;KLATEN;-;REGIONAL 5;KC;Non LPU;Jl. Pemuda No. 199 Klaten 57411, Kel. Klaten, Kec.Klaten Tengah, Klaten;Jawa Tengah;-7.707.993;110.598.474
PAKET 2A;57600;WONOGIRI;-;REGIONAL 5;KC;Non LPU;Jl. Ahmad Yani No. 168, Wonogiri, Kel. Giripurwo Kec. Wonogiri, Wonogiri;Jawa Tengah;-7.810.747;110.923.975
PAKET 2A;57700;KARANGANYAR;-;REGIONAL 5;KC;Non LPU;Jl. Lawu No. 8 Karanganyar, Kel. Cangakan, Kec. Karanganyar, Karanganyar;Jawa Tengah;-7.595.442;110.946.033
PAKET 2A;59100;PATI;-;REGIONAL 5;KC;Non LPU;Jl. P.Sudirman No. 61 Pati 59112, Kel. Ngarus, Kec. Pati, Pati;Jawa Tengah;-6.750.615;111.030.297
PAKET 2A;59300;KUDUS;-;REGIONAL 5;KC;Non LPU;Jl. Jend. Sudirman No. 43 KS 59311, Kel. Kramat Besar, Kec. Kota Kudus, Kudus;Jawa Tengah;-6.806.051;110.846.492
PAKET 2A;59400;JEPARA;-;REGIONAL 5;KC;Non LPU;Jl. Yos Soedarso No. 24, Kel. Jobokuto, Kec. Jepara, Jepara;Jawa Tengah;-6.588.391;1.106.661
